M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,qize1428,所以在土星可以看到十幾個月亮？ 真酷,2019/10/08 09:58:00,推,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,geniusholy,馬尾最高,2019/10/08 10:00:00,推,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,et11117,都是些小石塊,2019/10/08 10:05:00,推,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,eric19860102,火星最騷,2019/10/08 10:08:00,推,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,ohrring,想幹天王星,2019/10/08 10:09:00,推,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,mox21,可以過82次中秋節 還滿爽的XD,2019/10/08 10:12:00,推,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,idunhav1,木星在住,2019/10/08 10:20:00,推,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,benomy,有些太遠根本就看不到吧,2019/10/08 10:31:00,推,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,AllenHuang,其實在土星上最酷的是看土星環吧,2019/10/08 10:36:00,→,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,sdiaa,土星環那些不算衛星嗎??,2019/10/08 10:42:00,→,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,z22771187,阿克婭,2019/10/08 10:42:00,推,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,musicfire,5公里？是不是訂個標準多大才算衞星阿,2019/10/08 11:48:00,推,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,owlonoak,https://i.imgur.com/MISQQyZ.jpg,2019/10/08 11:55:00,推,13,0,4
M.1570499825.A.B3D,[新聞] 土星衛星增加到82個！打敗木星「成太陽,boss88893,重點在   這是「美國」發現的  嗯...,2019/10/09 15:21:00,推,13,0,4
